R
1	393
2	382
3	376
4	370
5	366
6	361
7	355
8	351
9	347
10	345
11	341
12	336
13	333
14	332
15	329
16	325
17	323
18	322
19	321
20	317
21	315
22	314
23	314
24	311
25	309
26	308
27	308
28	306
29	305
30	304
31	304
32	303
33	302
34	301
35	301
36	300
37	299
38	299
39	298
40	298
41	297
42	297
43	297
44	297
45	297
46	296
47	297
48	297
49	296
50	295
51	295
52	295
53	295
54	294
55	294
56	294
57	294
58	293
59	293
60	293
61	294
62	293
63	292
64	292
65	293
66	292
67	292
68	292
69	292
70	292
71	292
72	292
73	292
74	292
75	292
76	291
77	292
78	292
79	291
80	291
81	291
82	291
83	291
84	290
85	290
86	291
87	290
88	289
89	289
90	291
91	291
92	290
93	290
94	291
95	291
96	290
97	290
98	290
99	291
100	289
101	288
102	287
103	277
104	269
105	275
106	280
107	278
108	285
109	293
110	295
111	296
112	296
113	297
114	295
115	295
116	295
117	294
118	294
119	294
120	294
121	293
122	293
123	293
124	292
125	292
126	293
127	292
128	292
129	292
130	292
131	291
132	291
133	292
134	291
135	291
136	291
137	291
138	290
139	290
140	291
141	290
142	290
143	291
144	291
145	290
146	290
147	291
148	290
149	290
150	291
151	290
152	290
153	290
154	291
155	290
156	290
157	291
158	290
159	290
160	290
161	291
162	290
163	290
164	291
165	291
166	291
167	289
168	289
169	288
170	288
171	289
172	288
173	288
174	289
175	289
176	288
177	289
178	289
179	289
180	289
181	290
182	289
183	289
184	289
185	289
186	289
187	289
188	290
189	289
190	289
191	289
192	289
193	289
194	289
195	290
196	289
197	289
198	290
199	289
